imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certifcation
tt0252912,0.0,/b6uKGiMCtE90LMwi4zuLeVeKy8w.jpg,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,102516.0,es,Aunque tú no lo sepas,"Lucía's heart misses a beat when she sees a man of her age, Juan in a department store. Without hesitating, she decides to follow him to his house, the same house where, twenty-five years before, while the Franco regime was on its last leg, Juan first met Lucía and fell in love with her...",0.84,/4HGh9fMJGrJ6iBiIeFkgkqeGVAk.jpg,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2001-01-05,0.0,110.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,What You Never Knew,0.0,6.5,4.0,
tt0252985,0.0,/lkS4BWVGr2TIyqwWcLtE6xz553j.jpg,"{'id': 926177, 'name': 'Aldo Giovanni e Giacomo Collection', 'poster_path': '/lLiPa1JB4NGn0zYyQ9LQyhv5Dpn.jpg', 'backdrop_path': None}",0.0,"[{'id': 35, 'name': 'Comedy'}]",,50531.0,it,Chiedimi se sono felice,"Aspiring actors Aldo, Giovanni, and Giacomo work dead-end jobs while focusing on their passion project: staging an adaptation of 'Cyrano de Bergerac'. However, love for the same woman will end their friendship. Three years later, Giovanni and Giacomo reunite to travel from Milan to Sicily after hearing that Aldo is dying.",7.893,/qCBmNunSpKRlPyjOZXbqTN1usTH.jpg,"[{'id': 6246, 'logo_path': '/7X6pfxldTiOD7MLo2EQqUQlmOUw.png', 'name': 'Medusa Film', 'origin_country': 'IT'}, {'id': 9094, 'logo_path': None, 'name': 'A.Gi.Di.', 'origin_country': 'IT'}, {'id': 113451, 'logo_path': None, 'name': 'Kubla Khan', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2000-12-15,0.0,100.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Ask Me If I Am Happy,0.0,7.661,1495.0,
tt0253056,0.0,,,0.0,"[{'id': 28, 'name': 'Action'}]",,113595.0,en,Down 'n Dirty,"Dakota Smith is an experienced policeman with a problem: his partner was shot dead, and corrupt cops are responsible. Dak's investigation leads him to widespread corruption in the department, as well as a corrupt district attorney. Smith finds an unlikely ally in timid photographer Nick Gleem. While Gleem unearths clues about the bad guys, Dak fends off attacks on his own life. While he's not in gun battles with these local villains, divorced father Dak has no shortage of lady friends to keep him happy.",1.001,/fJvr33Jei3cNO36RNOLjXrP2Tvh.jpg,"[{'id': 1164, 'logo_path': None, 'name': 'City Heat Productions', 'origin_country': ''}, {'id': 11787, 'logo_path': None, 'name': ""Po' Boy Productions"", 'origin_country': ''}, {'id': 25433, 'logo_path': None, 'name': 'DEJ Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-10-23,0.0,102.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Down 'n Dirty,0.0,2.0,1.0,
tt0253063,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,27100.0,en,Eban and Charley,"29-year-old Eban has retreated home to his parent's house in Seaside Oregon after the dissolution of his teaching job in Seattle. There he courts 15-year-old Charlie and eventually the two start a sexual relationship. As the age of consent in Oregon is 18 years and given the age difference, the adults in this drama take a dim view of this development.",1.931,/4jvVDWA0wHudVA6TH4rmnfigCnN.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-06-12,0.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Eban and Charley,0.0,4.7,12.0,
tt0253104,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,495410.0,en,Godass,An off-beat comedy about how having a gay father can be the least of a punk girl's problems.,0.6000000000000001,/kqEr1N7EOkr6sMA3CBJQe16VxNj.jpg,"[{'id': 158442, 'logo_path': None, 'name': ""Hell's Bells"", 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-03-12,0.0,73.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every girl needs one!,Godass,0.0,1.0,1.0,
tt0253110,0.0,/T66TqCBqDgsTY1A7e2j1KolRxH.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,34704.0,es,La gran vida,"Lola, a Mexican waitress working in Madrid, befriends a 30-year-old suicidal man who has borrowed $1,000,000 to spend on his last day on Earth, knowing he will be killed anyway if he fails to return the money. After meeting Lola, however, he decides that life might be worth living after all.",2.843,/4Svz2C0Yn58ODjJQXOH23BNtslv.jpg,"[{'id': 1182, 'logo_path': '/bkgwJWvqqLuzsXV2Qv3Mg3wfcNZ.png', 'name': 'Telecinco Cinema', 'origin_country': 'ES'}, {'id': 1936, 'logo_path': '/kwmlQtcywUuEpXr4PX05bW169Ci.png', 'name': 'BocaBoca Producciones', 'origin_country': 'ES'}, {'id': 56496, 'logo_path': None, 'name': 'BesoBeso Producciones', 'origin_country': ''}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2000-10-11,0.0,112.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"Before you give it up, live it up.",Living It Up,0.0,4.9,16.0,R
tt0253146,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,203927.0,ko,인터뷰,"A story of a filmmaker who falls in love with a woman he interviews for his film. The film presents the evolution of a relationship which shifts from the objective to the subjective, and from lies to truth.",0.899,/bTw3kdfZ6CyJ5bUfHx56fiJZYd3.jpg,"[{'id': 868, 'logo_path': '/pWznyKg90dGoFpWQ5yAQ0Wdvde8.png', 'name': 'Cinema Service', 'origin_country': 'KR'}, {'id': 4580, 'logo_path': None, 'name': 'Cine2000', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2000-04-01,0.0,126.0,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Interview,0.0,5.4,7.0,
tt0253194,0.0,,,0.0,[],,159067.0,hi,Kunwara,Raju meets Urmila in New Zealand. They have a fast romance and things are going well until Raju must make a trip back to India...,2.351,/tLSmEZTqWrj4NPu7PQJ6IHKRh0l.jpg,[],[],2000-07-14,0.0,0.0,[],Released,,Kunwara,0.0,5.4,8.0,
tt0253249,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,619234.0,fa,میکس,An Iranian director and his technical crew scramble to complete post-production on their latest film in time for the Fajr Film Festival.,0.6000000000000001,/3IMqnHd45Rao5Vrdz3eafdyB87Y.jpg,[],"[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2000-01-01,0.0,86.0,"[{'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,The Mix,0.0,0.0,0.0,
tt0253378,0.0,/545JJIh6Ow1EyraXwJtzsjBViqz.jpg,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,54690.0,ko,오! 수정,"Wealthy Jae-hoon meets attractive writer Soo-jung through their mutual friend, filmmaker Young-soo. While Jae-hoon tries to pursue a romance with Soo-jung, things get complicated when it becomes apparent that Young-soo also has feelings for the young woman.",7.474,/hV0kpO5WZGtBR9jmGd33IfY0P8a.jpg,"[{'id': 68952, 'logo_path': None, 'name': 'Miracin Korea', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2000-05-27,0.0,126.0,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Virgin Stripped Bare by Her Bachelors,0.0,6.7,28.0,
